teks,jenis
Jikalau kita bertanam padi \n Senanglah makan adik-beradik \n Jikalau kita bertanam budi \n Orang yang jahat menjadi baik \n ,pantun
Kalau ada air bersih \n Bolehlah kita menggunakannya \n Kalau kamu ingin lingkunganmu bersih \n Buanglah sampah pada tempatnya \n ,pantun
"Buah Hatiku 
 Satu... 
 perlahan hadir... 
 cantikdengan segala kekurangan dan kelemahanku 
 Engkau lebih menyayanginya. 
 hamba titipkan bidadari kecilku padaMu 
 Dua perlahan tiba.. 
 manis lucu pintar putri keduaku 
 Tiga perlahan datang... 
 nakal lucu pintar putri ketigaku 
 Empat berlanjut kembali. 
 lucu ganteng jagoan putra keempatku 
 Hai putra putiku.. 
 jadilah kalian kebanggaan bundamuijinkan hamba melihat mereka bahagiahingga mereka pun bisa melihat hamba telah bahagia 
  
 ",puisi
Anak ayam turun sepuluh \n Mati satu tinggal sembilan \n Bangun pagi sembahyang subuh \n Agar dapat ampunan tuhan \n ,pantun
"Kala dulu 
 Ada sungai mengalir air 
 Selalu setia saling lengkapi 
 Layaknya kisahku 
 Semi berganti gugur 
 Sungai kering hilang air 
 Tak saling lengkapi seperti kala dulu 
 Kisahku yang mulus berganti terjal 
 Kau tiba dengan ungkapan tak terduga olehku 
 Kata pahit terucap olehmu 
 Buatku terjatuhTerpurukNafas 
 Serasa tak berlantun 
 Layaknya waktu yang tersendat 
 Membuntuti perasaanku 
  
 ",puisi
Dengar lagu berirama \n Tersenyumlahlah si adik manja \n Mari main bersama-sama \n Jangan duduk sendiri saja \n ,pantun
"Entah, aku harus memulai dari mana... 
 Kini kegundahan menyelimuti kalbuku, 
 Aku urai bait dalam syahdunya rinduku 
 Aku lukis terangnya dlm jiwaku 
 Bahagia menyemai disetiap hariku 
 Aku memang tak seindah pelangi 
 Aku jua tak sekokoh batu karang 
 Aku ini insan biasa yang hanya bisa berharap pada Yang Esa 
 Berharap kasih sayang-Nya mengalir disetiap nadiku 
 Berharap lindunga-Nya disetiap langkahku 
 Desah nafas ini terengah melihat insan yg terkubur dalam cintanya untukku 
 Jujur pilu telah terasa, namun bahagia atas kejujurannya pun aku rasa 
 Meski tak dapat ku genggam, tak dapat ku raih 
 Hatiku berharap bahagianya selalu, karena yang terpenting adalah senyumnya 
 Jangan sampai ada air mata kesedihan mengalir di pipinya... 
 Aku percaya rencana Allah begitu indah, 
 Biarlah rasa ini ku nikmati sendiri dalam doa... 
  
 ",puisi
"Novita Sari 
  
 Di masa putih abu-abu 
 Kita selalu berbagi cerita 
 Kadang suka ataupun duka 
 Tetapi kusiap menjadi pendengar untukmu. 
  
 Dikala sedih menanggis bersama 
 Dikala suka tertawa bersama 
 Hari demi hari kita lewati 
 Karena ku sadar kita tak akan berjumpa kembali. 
  
 Hanya masa-masa ini yang kurindukan 
 Hanya masa-masa ini yang kukenang 
 Dimana hanya ada kau dan aku 
 Dan cerita tentang kita 
 Yang terukir dalam memori indah 
 Dimasa itu. 
  
 Mungkin kau sadar tentang hari ini 
 Sama seperti yang mengharapkan waktu lebih lama tuk masa-masa kita 
 Ternyata kusalah waktu begitu cepat berlalu. 
  
 Hanya air mata yang jatuh. 
 Mengingat tentang kita yang dahulu. 
 Tapi kau tenang 
 Semua akan kukenang 
 Didalam hatiku semua tentang kita 
  
 ",puisi
"Memang aku orang tak punya 
 Dan kau punya segalanya 
 Memang aku tak secantik wajahmu 
 Mungkin karena kau selalu berada dalam kemewahan dunia 
 Aku sadar dalam posisi kehidupanku 
 Tapi aku masih punya hati dalam menyikapi permasalahan 
 Tak sehina dari kata ucapanmu 
 Cukup sabar ku menahan diri dan amarahku 
 Karena kebanggaanmu pada kemewahan duniawimu 
 Apa kau tidak berfikir akan akhlaq dan kesopananmu 
 Yang kau fikirkan hanya kecantikan 
 harta dan kesenangan duniamu 
 Hatimu tak seputih kapas benang 
 Tapi tlah ternoda oleh getah kesombongan hidupmu 
 Kau hina insan yang lebih rendah kedudukanya 
 Kau caci maki insan yang lebih sederhana dari rupamu 
 Aku sadar.. 
 Aku kalah tko bondo lan rupomu 
 Berfikirlah dimana letak hati nurainimu 
 Ya tuhan .. 
 Berikanlah kesabaran untuk hambamu ini ya robb 
 Hanya kepadamu-lah ku percayakan segalanya(Amiin) 
  
 ",puisi
"Mengepal bayu membela tirta 
 Menapak awan merangkul angkasa 
 Menuai bintang merebah dirembulan 
 Melukis asa berkanvas lautan 
  
 Meraup buih jadikan permata 
 Menguntai embun menjaring sinar surya 
 Menghalau ombak mengikis samudra 
 Mengurai belukar menggulung rimba 
  
 Tiada daya tuk menggapai cintamu 
 Terlalu kukuh benteng hatimu 
 Tuk ku tembus dengan kasih sayangku 
 Tak dapat lagi ku miliki durimu 
  
 Begitu sulit menguak cintamu 
 Berlumur jenuh aku menggapaimu 
 Berharap kau buka pintu hatimu 
 Biar rasaku bersemanyam dikalbumu 
  
 ",puisi
